"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000174.E10"	"SeuratProject"	897510	2467	0	1.15475036489844	-0.0354107728092009	0.0108124601542271	"G2M"	"2"	"1"	"1"	"4"	"4"	0.103529411764706	"Singlet"	"Neurons"	"Tissue_stem_cells:lipoma-derived_MSC"	"T cells, CD8+"	"T cells, CD4+, naive, stimulated"	"B cells"	"Plasmablasts"	"B cells"	"Mature B cells"	"Fibroblasts"	"Fibroblasts"	"Tumor"	3.06437592629099	-6.35417830642414	9.80041522705542	9.80041522705542
"X1001000174.D5"	"SeuratProject"	686574	968	0	0.305429567679522	0.0169342959381579	-0.0247411221247507	"S"	"2"	"1"	"1"	"4"	"4"	0.0870588235294118	"Singlet"	"Tissue_stem_cells"	"Tissue_stem_cells:BM_MSC:TGFb3"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	NA	"Plasmablasts"	"B cells"	"Mature B cells"	"Chondrocytes"	"Fibroblasts"	"Tumor"	-0.283979515994547	-8.186227199399	11.3915309271116	11.3915309271116
"X1001000174.E5"	"SeuratProject"	548548	1804	0	0.760553315297841	0.0379299429972745	-0.0277983423616294	"S"	"2"	"1"	"1"	"4"	"4"	0.235294117647059	"Singlet"	"Tissue_stem_cells"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"CD4+ T cells"	"CD4+ Effector Memory"	"Smooth muscle"	"Astrocytes"	"Tumor"	0.589110661779882	-8.73505818542195	6.50334307144061	6.50334307144061
"X1001000174.F2"	"SeuratProject"	1312154	4461	0	2.75432609282142	-0.012422101593439	0.479942864939106	"G2M"	"2"	"1"	"1"	"4"	"4"	0.4	"Doublet"	"MSC"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Erythroid_CD34- CD71lo GlyA+"	"Astrocytes"	"Astrocytes"	"Tumor"	-4.4060420500884	-5.75492131408406	30.943298823187	30.943298823187
"X1001000174.F9"	"SeuratProject"	1494682	7061	0	2.51130340768137	0.0274135919964749	-0.0628020229522485	"S"	"2"	"1"	"1"	"4"	"4"	0.275294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Naive CD4 T cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.421248544489385	-10.201234218442	10.951465669676	10.951465669676
"X1001000174.C10"	"SeuratProject"	1000188	3167	0	1.15818226173479	-0.0367074061402259	-0.0744021050150561	"G1"	"1"	"0"	"0"	"6"	"6"	0.303529411764706	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Macrophages"	"Macrophages"	"Tumor"	6.55148368004465	4.90783798996257	-27.3919331535544	-27.3919331535544
"X1001000174.B6"	"SeuratProject"	1101180	4032	0	1.11961713797926	0.00712439784219092	-0.051588585215007	"S"	"2"	"1"	"1"	"4"	"4"	0.24	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Mesangial cells"	"Tumor"	-0.65174644764757	-10.0144299238558	13.4541008850088	13.4541008850088
"X1001000174.E2"	"SeuratProject"	1240113	3640	0	1.46462459469419	0.0219299110904139	0.0164656383693128	"S"	"2"	"1"	"1"	"4"	"4"	0.275294117647059	"Singlet"	"Neurons"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Erythroid_CD34- CD71+ GlyA+"	"Fibroblasts"	"Epithelial cells"	"Tumor"	1.39631514671946	-8.52195393737507	8.17882826202953	8.17882826202953
"X1001000174.H6"	"SeuratProject"	985114	5235	0	0.930958244426533	0.103617604682636	-0.0463337136093238	"S"	"2"	"1"	"1"	"4"	"4"	0.277647058823529	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-1.9269926058898	-10.7952817648287	16.9589910865258	16.9589910865258
"X1001000174.B7"	"SeuratProject"	716632	1845	0	1.6542660668237	-0.0469385925854188	-0.047112616033539	"G1"	"2"	"1"	"1"	"4"	"4"	0.254117647058824	"Singlet"	"Tissue_stem_cells"	"Tissue_stem_cells:BM_MSC:TGFb3"	"Monocytes"	NA	"Progenitors"	NA	"CD4+ T cells"	"Myeloid Dendritic Cells"	"Fibroblasts"	"Fibroblasts"	"Tumor"	-0.255707393849848	-8.74420964416218	10.8951206782068	10.8951206782068
