"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000174.B8"	"SeuratProject"	839115	4883	0	1.1313109645281	0.26189397715719	0.00378045438196664	"S"	"2"	"1"	"1"	"3"	"3"	0.251764705882353	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"Monocytes, CD16+"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Adipocytes"	"Myeloid"	-3.00355238791799	-10.617771503293	24.7561556035795	24.7561556035795
"X1001000174.F4"	"SeuratProject"	662533	2670	0	0.21251771609867	0.0501683487857332	-0.0135743456484904	"S"	"2"	"1"	"1"	"3"	"3"	0.247058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-2.33764774676657	-9.4692853659029	18.6950932726613	18.6950932726613
"X1001000174.G2"	"SeuratProject"	638659	1919	0	0.239407884332641	0.0160259934027041	-0.0223517459354365	"S"	"2"	"1"	"1"	"3"	"3"	0.221176470588235	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Naive CD8 T cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Mesangial cells"	"Myeloid"	-3.27945918914175	-9.15000903304768	24.540710217586	24.540710217586
"X1001000174.D8"	"SeuratProject"	1121203	3894	0	0.776665777740516	0.0593392344108741	0.228945877814795	"G2M"	"2"	"1"	"1"	"3"	"3"	0.407058823529412	"Doublet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-5.04991145011282	-6.03376948531819	30.6228524397494	30.6228524397494
"X1001000174.C3"	"SeuratProject"	907527	3885	0	1.07071194576029	0.111581595322411	-0.032451485144846	"S"	"2"	"1"	"1"	"3"	"3"	0.247058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.78297419425344	-10.4742778509493	30.8498179031603	30.8498179031603
"X1001000174.A7"	"SeuratProject"	1013579	3731	0	0.822234872664094	0.114232641749646	-0.0396334638880931	"S"	"2"	"1"	"1"	"3"	"3"	0.237647058823529	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Fibroblasts"	"Myeloid"	-4.1244225012908	-10.8001531332369	27.553522322161	27.553522322161
"X1001000174.A2"	"SeuratProject"	643967	2402	0	0.368341856026784	0.00385582350883161	-0.0501985547907579	"S"	"2"	"1"	"1"	"3"	"3"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Fibroblasts"	"Neurons"	"Myeloid"	-3.66193218108511	-10.1195005148287	24.0659623422237	24.0659623422237
"X1001000174.E4"	"SeuratProject"	683899	2332	0	1.6493663538037	-0.0438252512226548	-0.00995892607336771	"G1"	"2"	"1"	"1"	"3"	"3"	0.247058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"NK cells"	"Progenitors"	"Progenitor cells"	"HSCs"	"Naive CD8+ T cells"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.36939920064306	-8.89435088332844	19.1836635397674	19.1836635397674
"X1001000174.D12"	"SeuratProject"	887386	4140	0	0.744659032258792	-0.0148966510827388	-0.0506569185618132	"G1"	"2"	"1"	"1"	"3"	"3"	0.211764705882353	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Fibroblasts"	"Fibroblasts"	"Myeloid"	-1.89275975104666	-9.43737446960163	22.5186944694716	22.5186944694716
"X1001000174.H4"	"SeuratProject"	842194	3532	0	0.867852300063881	0.0585336001191503	0.00722228412768541	"S"	"2"	"1"	"1"	"3"	"3"	0.242352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Adipocytes"	"Myeloid"	-3.86153645392752	-10.6650088995333	26.8258475959724	26.8258475959724
