"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.H7"	"SeuratProject"	1105004	3935	0	1.2850632214906	0.0277087981047857	-0.0224730533498081	"S"	"2"	"1"	"1"	"3"	"3"	0.214117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Erythroid_CD34- CD71lo GlyA+"	"Adipocytes"	"Neurons"	"Myeloid"	-3.50469608184194	-10.6127103536959	27.1444334266377	27.1444334266377
"X1001000173.H5"	"SeuratProject"	1081237	3600	0	0.928936024201909	0.0787347958945976	-0.052628834158828	"S"	"2"	"1"	"1"	"3"	"3"	0.251764705882353	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Th2 cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.13959474440908	-10.8223727911348	28.4585756658222	28.4585756658222
"X1001000173.G2"	"SeuratProject"	1151034	4713	0	0.802756478088397	0.0631677822513711	0.0113554567686914	"S"	"1"	"0"	"0"	"0"	"0"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-3.16799683448171	-10.3242477148409	26.018403274214	26.018403274214
"X1001000173.A3"	"SeuratProject"	1332084	4728	0	2.34414646523793	-0.0144546731842581	-0.0227715169284552	"G1"	"2"	"1"	"1"	"4"	"4"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Naive CD8+ T cells"	"Astrocytes"	"Fibroblasts"	"Tumor"	-0.321342687572001	-9.33284365829182	9.9031875402687	9.9031875402687
"X1001000173.D3"	"SeuratProject"	1034727	3908	0	1.21181722328692	0.01325982512765	0.0027093758927843	"S"	"2"	"1"	"1"	"3"	"3"	0.216470588235294	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"B cells"	"B cells, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.34608740683889	-10.5714620321627	28.1563821235954	28.1563821235954
"X1001000173.E1"	"SeuratProject"	1955923	8402	0	2.72157953048254	0.0423524513772927	-0.0494751488515968	"S"	"2"	"1"	"1"	"4"	"4"	0.282352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.652705599104406	-10.0577400892611	10.0142628017022	10.0142628017022
"X1001000173.G12"	"SeuratProject"	1330754	7223	0	6.36330982285231	0.156683483842027	-0.0632258081045189	"S"	"2"	"1"	"1"	"4"	"4"	0.256470588235294	"Singlet"	"Tissue_stem_cells"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD4+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	4.55620246056223	1.19913709465313	4.84159363845486	4.84159363845486
"X1001000173.C10"	"SeuratProject"	1053887	3190	0	1.0417625419044	-0.0133362004928755	-0.0591019544425577	"G1"	"2"	"1"	"1"	"3"	"3"	0.221176470588235	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-3.70029444571829	-10.5387614935274	26.2714748665897	26.2714748665897
"X1001000173.C3"	"SeuratProject"	1038236	1594	0	0.551030786834593	0.00415232320882321	0.00521867087408324	"G2M"	"2"	"1"	"1"	"3"	"3"	0.167058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"Dendritic cells"	"CD4+ Effector Memory"	"Fibroblasts"	"Melanocytes"	"Myeloid"	-2.42415470954275	-8.62303960021687	19.7298130855045	19.7298130855045
"X1001000173.D11"	"SeuratProject"	1383133	2652	0	1.24593947219826	0.00900507553123979	-0.0339945908735125	"S"	"1"	"0"	"0"	"6"	"6"	0.230588235294118	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Monocytes"	"Monocytes"	"Tumor"	6.20672421578074	6.36438429657268	-26.8053605486039	-26.8053605486039
